"product_name","article","price"
"Brondi FX COMPACT SPORT S","Codice articolo:FXCOMPACTSPORTS","19.00 €"
"Samsung T32E319EI 32"" Monitor TV Full HD Nero","Codice articolo:T32E319EI","299.00 €"
"Epson V370","Codice articolo:B11B207312","138.90 €"
"Microsoft  KIT Penne varie misure per disegnare su SURFACE","Codice articolo:RJ300006","9.90 €"
"Samsung Gear 360  Camera 15Mpx  MP4 WiF Per video e foto a 360°","Codice articolo:SMC200NZWAITV","179.00 €"
"MSI Aegis 034EU 3.4GHz i7-6700 Scrivania Nero","Codice articolo:AEGIS034EU","1.699.00 €"
"HP Deskjet 1110","Codice articolo:F5S20B","44.90 €"
"KENDO AVT45A  VENT.TAVOLO 56X22.5X53 3VEL 120W INDUSTRIA.CROMATO","Codice articolo:AVT45A","64.90 €"
"Dyson AM07 Cool","Codice articolo:AM07B","439.00 €"
"Ariete MUFFIN CUPCAKE PARTY TIME 188","Codice articolo:188","34.90 €"
"Reber 9004 N 500W Nero Cromo Grigio","Codice articolo:9004N","259.90 €"
"Philips Lame ricambio One Blade QP220","Codice articolo:QP220","25.99 €"
"Polti VAPORETTO First PGEU0011","Codice articolo:PGEU0011","49.90 €"
"Warner Bros Gioco PS3 Lego DIMENSIONS Starter Pack","Codice articolo:1000603365","79.90 €"
"Moulinex MACINACAFFE MC3","Codice articolo:MC3001","22.90 €"
"Polti KALSTOP FP2003","Codice articolo:PAEU0094","12.90 €"
"Nintendo Gioco Wii U Mario Kart 8","Codice articolo:2323049","59.00 €"
"BRITA Marella","Codice articolo:MARELLAWHITE","23.99 €"
"Ubisoft Gioco Nintendo Wii Just Dance 2017","Codice articolo:300086353","39.00 €"
"Nintendo CARICABATTERIE PER 3DS/3DSXL/DSI","Codice articolo:2210066","7.90 €"
"Trust Oxxtron","Codice articolo:17938","69.90 €"
"TomTom Start 25M Europa 45 Paesi Mappe a Vita","Codice articolo:1EN500227","99.00 €"
"NETGEAR A6100 USB 433Mbit/s","Codice articolo:A6100100PES","39.90 €"
"Huawei P9  52"" 32GB 3GB RAM  4G LTE Grey","Codice articolo:P9GREY","449.00 €"
"Acer One 10 S1003-19ZA 1.44GHz x5-Z8350 10.1"" 1280 x 800Pixel Touch screen Nero Ibrido (2 in 1)","Codice articolo:S100319ZA","299.00 €"
"Brondi Telefono a Filo BRAVO 50 Argento","Codice articolo:BRAVO50LCD","29.90 €"
"Asus F541UJ-DM259T 2.7GHz i7-7500U 15.6"" 1920 x 1080Pixel Argento","Codice articolo:F541UJDM259T","799.00 €"
"Trust Oxxtron","Codice articolo:17680","79.99 €"
"Panasonic Cordless KX-TG6811 SILVER","Codice articolo:KXTG6811JTS","24.90 €"
"TomTom GO 50","Codice articolo:1FC500201","172.00 €"
"Lenovo IdeaPad Miix 310-10ICR 64GB Nero Argento tablet","Codice articolo:MIIX31010ICR","249.00 €"
"Huawei P9 Plus 55"" 64GB 4GB RAM  4G LTE Grey","Codice articolo:P9PLUSGREY","729.00 €"
"SITECOM ADATTATORE WIFI USB DUAL BAND 5GHZ 450MBPS AC450","Codice articolo:WLA3001","29.99 €"
"Brondi Telefono a Filo BRAVO 15 Nero","Codice articolo:BRAVO15NERO","23.90 €"
"HP All-in-One - 24-g023nl","Codice articolo:24G023NL","649.00 €"
"Panasonic Cordless KX-TG6811 Nero","Codice articolo:KXTG6811JTB","24.90 €"
"Lenovo YOGA BOOK  1-X91L 64GB 4G Nero lo Schermo  AnyPen - Penna inclusa -convertibile 4 in 1","Codice articolo:YOGABOOK1X91L","699.00 €"
"Trust Bluetooth 4.0 USB adapter Bluetooth","Codice articolo:18187","16.90 €"
"Samsung Galaxy S7 51""  SM-930FZ 32GB 4GB RAM  4G LTE  Oro Impermeabile","Codice articolo:SMG930FZDA","629.00 €"
"Samsung PEN DRIVE 64GB USB3.0 130MB/S C/MICRO USB DUO","Codice articolo:MUF64CBEU","32.90 €"
"Motorola C403E","Codice articolo:C403ENERO","39.00 €"
"Panasonic Telefono a Filo KX-TS580EX1 Nero","Codice articolo:KXTS580EX1B","34.90 €"
"Apple iMac 21.5"" Retina 4K","Codice articolo:MK452TA","1.599.00 €"
"HP 15 Notebook - -ay501nl","Codice articolo:15AY501NL","399.00 €"
"Asus Transformer Book T305CA-GW052R 1.3GHz i7-7Y75 12.6"" 2880 x 1620Pixel Touch screen Oro","Codice articolo:T305CAGW052R","1.699.00 €"
"NETGEAR N300 WLAN 300Mbit/s","Codice articolo:WNA3100M100PES","22.90 €"
"SanDisk ULTRA DUAL","Codice articolo:SDDD2032GG46W","22.90 €"
"Panasonic Cordless KX-TGB110JTB Nero","Codice articolo:KXTGB110JTB","17.90 €"
"Brondi Telefono a Filo SUPER BRAVO PLUS","Codice articolo:SUPERBRAVOPLUSARGENTO","49.90 €"
"Acer Swift F314-51-36PG 2.00GHz i3-6006U 14"" 1366 x 768Pixel Argento Netbook","Codice articolo:SF3145136PG","599.00 €"
"Apple iMac 21.5""","Codice articolo:MK142TA","1.218.00 €"
"Toshiba HDWW100EKWF1 WLAN scheda di rete e adattatore","Codice articolo:HDWW100EKWF1","59.90 €"
"Samsung Galaxy S7 51""  SM-930FZ 32GB 4GB RAM  4G LTE Bianco Impermeabile","Codice articolo:SMG930FZWA","629.00 €"
"Acer Switch Alpha 12 SA5-271-5485 2.3GHz i5-6200U 12"" 2160 x 1440Pixel Touch screen Nero Argento","Codice articolo:SA52715485","899.00 €"
"Kingston DataTraveler G4 64GB","Codice articolo:DTIG464GB","39.90 €"
"Panasonic Cordless KX-TGD310 Nero","Codice articolo:KXTGK310JTB","59.90 €"
"Lenovo IdeaPad 700-15ISK 2.6GHz I7-6700HQ 15.6"" 1920 x 1080Pixel 4G Bianco","Codice articolo:70015ISKPN80RU00TNIX","899.00 €"
"Panasonic Telefono a Filo KX-TS520EX1 Bianco","Codice articolo:KXTS520EX1W","13.90 €"
"Apple iMac 21.5""","Codice articolo:MK442TA","1.439.00 €"
"NETGEAR WNA3100 300Mbit/s","Codice articolo:WNA3100100PES","24.90 €"
"SanDisk Cruzer Edge","Codice articolo:SDCZ51032GB35","21.90 €"
